Timestamp,Rating,Ulasan
2024-12-01 20:12:31,4,Sangat Membantu
2024-12-01 20:12:31,5,"UI-nya simpel, jadi gampang dipake 😍"
2024-12-01 08:17:45,5,Membantu bangett 💪
2024-12-01 08:20:51,4,Aku emang butuh web ini 🙌
2024-12-01 10:17:45,4,Cepet banget hasilnya ⚡
2024-12-01 11:27:35,5,Prediksinya pas banget sama yang aku cari 🔥
2024-12-01 18:00:45,4,Web ini keren banget sih 😎
2024-12-01 18:37:45,5,Aplikasinya baguss 👍
2024-12-01 21:17:05,5,Sangat berguna buat aku 😊
2024-12-01 22:00:55,4,Ini kan aplikasi buat prediksi harga jual mobil 🚗
2024-12-01 23:00:00,4,"Sangat berguna, namun perlu sedikit perbaikan 👍"
2024-12-01 22:45:30,3,"Fitur kurang lengkap, tapi oke lah"
2024-12-01 21:59:59,5,Keren banget aplikasinya! Akurat dan cepat 🔥
2024-12-01 21:30:15,4,"Suka banget dengan aplikasi ini, user-friendly banget!"
2024-12-01 20:45:20,4,Hasil prediksinya memuaskan 😃
2024-12-01 20:05:10,3,"Berguna, tapi sering error di aplikasi"
2024-12-01 19:40:25,5,"Puas banget, aplikasinya sempurna! 🏆"
2024-12-01 19:20:00,4,"User interface yang enak dilihat, tapi masih ada bug"
2024-12-01 18:55:10,4,"Web ini membantu, meski ada beberapa fitur yang perlu pengembangan lebih lanjut"
2024-12-01 18:30:00,5,"Sangat memuaskan, cepat dan akurat 🌟"
2024-12-01 17:45:30,3,"Fitur masih terbatas, tapi cukup membantu untuk sekarang"
2024-12-01 17:00:10,4,"Bagus, tapi sepertinya perlu lebih banyak opsi atau filter"
2024-12-01 16:30:45,5,Luar biasa! Aplikasi yang sangat membantu 🏅
2024-12-01 15:50:30,4,"Cepat dan mudah digunakan, sangat praktis"
2024-12-01 14:40:00,3,"Hasil prediksi kadang kurang akurat, perlu diperbaiki"
2024-12-01 14:10:50,5,Aplikasi terbaik yang pernah saya coba! 💥
2024-12-01 13:35:40,4,"Sangat baik, tapi kadang ada sedikit bug"
2024-12-01 12:55:20,3,"Perlu perbaikan lebih lanjut, tapi cukup bermanfaat"
2024-12-01 12:15:10,5,"Aplikasi ini luar biasa, hasil prediksinya sangat akurat 🏆"
2024-12-01 11:50:00,4,"Cukup bagus, meskipun ada beberapa hal yang bisa lebih baik"
2024-12-01 20:49:02,3,xx
2024-12-01 22:05:57,0,ddd
2024-12-01 22:08:17,5,daa
2024-12-02 11:19:38,5,wah! bagus sekali aplikasinya terimakasih yaa sudah membuatnyaa😊
